dimension,benchmark,algorithm,best_fitness,best_position,fitness_history,execution_time
30,Ackley,SQPPSO,17.857117632433944,"[8.996779263060365, 9.996421650059549, -16.993915711688516, -4.998210979209385, 21.99212552620857, -1.9992845740532303, 17.993557719139964, 10.9960632158805, 11.995705041590805, -3.9985686903036672, -10.996064192385074, -20.99248443509746, 9.996420966112968, 2.9989268866334373, -0.9996422533355218, 13.994990029741544, 1.9992850341797868, -13.994989485034136, 2.9989269646332217, 8.996779454784464, 15.994273887324958, -17.99355802010468, 10.996064493875348, -5.997853051282022, -2.9989262632285962, 10.99606503132244, 5.997853793250166, 2.998926253831398, -6.997495085538722, -5.997852995631069]","[20.462024287578284, 19.469446396871348, 19.469446396871348, 19.469446396871348, 19.469446396871348, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944, 17.857117632433944]",0.16715054199994483
30,Ackley,SQPPSO,18.243665931351575,"[11.996767275828473, -4.998653422270301, -9.997307323573027, -1.9994612653212556, 14.995961430287103, -3.998922413724861, -17.995151678618658, 3.998922108807026, 11.996769098299492, -5.99838461570838, -2.9991930719278423, 0.9997297904013434, 2.999192293065248, -21.9940738201807, 13.99622824439947, -15.995690667640876, 1.9994623056583272, 9.997305929760673, 3.9989214088915395, -7.997846914844966, -5.998384114620526, -6.998115331619543, -22.993804185890767, -22.99380428360693, -13.996229283260009, -5.998385506993638, 6.998115914794095, -26.99272513349724, 6.998114574521508, 7.9978461616589875]","[20.745617173338637, 20.02400416712188, 20.02400416712188, 20.02400416712188, 20.02400416712188, 20.02400416712188, 19.803673369150165, 19.803673369150165, 19.803673369150165, 19.803673369150165, 19.803673369150165, 19.803673369150165, 19.803673369150165, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575, 18.243665931351575]",0.1635527500002354
30,Ackley,SQPPSO,17.64365120315253,"[-3.8555712582710053, -2.9915584898109313, -3.037740479062712, 4.934507580102779, 10.96081183681015, -4.024007637485308, 6.019167398569494, -22.991300997407603, 8.85894048876257, 3.8554703722833406, -0.9941925907078505, 12.036822084039764, -10.95996728551861, 2.9885626376331924, -18.992902306561884, 5.372471942841502, 8.99366102061326, -10.982765151043774, -7.92117721794848, -6.807395402876428, -9.034395488691917, -13.01341034097426, -3.0788333381100346, 12.138123485947101, -15.007579605318105, -11.159953067476312, -12.082828193477809, -10.052112776642057, -6.956400544851726, 5.918460116291087]","[20.55357267658485, 19.4578181699015, 19.4578181699015, 19.4578181699015, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.748354306104833, 17.663053305887836, 17.64365120315253, 17.64365120315253, 17.64365120315253, 17.64365120315253, 17.64365120315253, 17.64365120315253, 17.64365120315253, 17.64365120315253]",0.1455317909999394
30,Ackley,SQPPSO,17.94525026500165,"[2.9989900849463846, -4.998315118504021, -18.993598595530166, 14.994948608708635, 14.994947339573267, -6.997640879382959, -21.992587799771712, -25.991238298721328, -12.995623028660559, 2.9989899961080653, 15.994610822810817, 11.995959217749762, 1.3417137353637064e-08, 18.993599678421194, 12.99562167573473, -7.997305523335619, 5.997978431436595, 2.9989897791962146, -7.997305942706951, 3.0573598310042007e-07, 3.9986542067293995, -12.995622414987517, -7.997305255706413, 4.998315022357257, 9.996632624653138, -0.9996635804215078, 5.9979790174452905, -6.997642652568835, 2.9989895415262318, 8.996969071132476]","[20.78452024765302, 19.634834477902167, 19.634834477902167, 19.634834477902167, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165, 17.94525026500165]",0.15014708399985466
30,Ackley,SQPPSO,18.373678023247635,"[-9.99758338033464, 22.9944407649298, -15.99613311904433, -1.9995166765988557, -18.995407943131937, -3.9990333682951813, -6.9983084214705364, 2.999275011776089, -1.9995167370294573, 13.996616512900134, 22.99444075022723, 18.995407881510843, 7.998066714493765, -5.998550069699667, -1.9995167106687144, -17.99564966234374, 19.995166123663633, -19.995166157589164, -1.9995167203752737, 5.998550017767253, 1.9995166491002077, -8.997825008406574, 1.9995166697034215, 0.9997583269802091, -2.330562951937767e-08, -1.9995166953969297, 26.993473419429257, 6.998308312317189, -0.9997583814050226, -12.996858266238098]","[20.399884660523146, 19.818755400587058, 19.818755400587058, 19.818755400587058, 19.818755400587058, 19.818755400587058, 19.818755400587058, 19.818755400587058, 19.818755400587058, 19.818755400587058, 19.818755400587058, 19.818755400587058, 19.818755400587058, 18.373678023597503, 18.373678023597503, 18.373678023597503, 18.373678023597503, 18.373678023597503, 18.373678023597503, 18.373678023597503, 18.373678023597503, 18.373678023597503, 18.373678023597503, 18.373678023597503, 18.373678023597503, 18.373678023597503, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635, 18.373678023247635]",0.132714291999946
30,Ackley,SQPPSO,18.20156228693315,"[-7.997773496894898, -2.028479723507834e-06, 14.995824710966422, 1.3189567001738006e-06, -19.99442795780927, 17.99498735016842, -5.998331323846748, -1.9994445907163092, 7.997771310774688, -3.998888188399879, -1.9994452203359274, 3.998884402313547, 3.998888541570534, -3.9988863563449617, -3.998883960703624, 0.9997202895860112, -28.991920956138987, 8.997493839161612, -8.99749582340307, -12.996380479556002, -6.998049678542316, 22.993593510563596, 17.994987500899427, -1.9994440771852182, 9.997214281060758, -5.998328775075732, 14.995825308871563, -9.997214375544145, 5.998331103542317, -23.993317057327754]","[20.25207949654116, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315, 18.20156228693315]",0.14853554199999053
30,Ackley,SQPPSO,17.063399890296072,"[-3.997715783243091, -0.9994289690758767, 7.995431058637701, 22.986851128597674, 2.998286887831252, -10.993716925516386, 2.998286880093398, 2.9982868807609195, 8.994859777448374, -16.99028633153691, -8.994859734759691, 12.992573816265283, -5.996573481208893, 5.9965734920750196, -5.996573480588808, 4.99714466666887, 8.994859762641811, -6.996002324820249, 9.994288367613256, -6.99600235046342, 7.995431087541112, 5.996573525931745, 3.997715801586055, -5.9965735078605515, 16.990286315118215, -3.9977157479476833, -16.990286290737995, 11.993145411877062, 0.9994289883880253, 8.994859795822846]","[20.6975931365779, 19.046119709214803, 19.046119709214803, 19.046119709214803, 19.046119709214803, 19.046119709214803, 19.046119709214803, 19.046119709214803, 19.046119709214803, 19.046119709214803, 19.046119709214803, 19.046119709214803, 19.046119709214803, 19.046119709214803, 19.046119709214803, 19.046119709214803, 19.046119709214803, 19.046119709214803, 19.046119709214803, 19.046119709214803, 19.046119709214803, 19.046119709214803, 19.046119709214803, 19.046119709214803, 19.046119709214803, 19.046119709214803, 19.046119709214803, 19.046119709214803, 18.790373845317273, 18.790373845317273, 18.790373845317273, 17.063399890467984, 17.063399890467984, 17.063399890467984, 17.063399890467984, 17.063399890467984, 17.063399890467984, 17.063399890467984, 17.063399890467984, 17.063399890467984, 17.063399890467984, 17.063399890467984, 17.063399890467984, 17.063399890467984, 17.063399890467984, 17.063399890467984, 17.063399890467984, 17.063399890467984, 17.063399890467984, 17.063399890467984, 17.063399890467984, 17.063399890467984, 17.063399890467984, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072, 17.063399890296072]",0.16869729199970607
30,Ackley,SQPPSO,17.909279044380973,"[4.998273819608536, 7.997237773572778, -21.992400927557274, 3.9986192619672716, 1.99930913885042, 14.994820644743374, 11.995856420721983, 3.998618667939568, -8.996892699263817, -1.9993095047575835, 22.99205511510557, -21.99240054910966, 13.995165351471483, -2.998963814466036, -4.998273511423907, -21.99240142427793, -2.9989642377291683, 3.998619450557777, -6.997583244543839, 8.996892349156155, -2.9989637089757335, -5.997928457339759, 0.9996552937408649, -8.996892842121772, 9.99654705808481, -14.99481996542776, -3.998619756300764, 12.995510855524705, 9.996546639658265, 11.99585635644043]","[20.58194471570745, 19.98470400971732, 19.558052359117386, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973, 17.909279044380973]",0.13820870800009288
30,Ackley,SQPPSO,18.347457686647573,"[-12.996788258714695, -7.9980232260854525, -6.998269696992307, -18.99530352821815, -3.9990128905852567, -24.993821972613656, 15.996046619662923, -9.997529498502514, -1.999505253702582, -16.99579812952898, 14.996292605471938, -1.999505628204619, -16.995799266993494, -7.998023867953054, 4.998765441530395, -8.997775784097573, 4.998764982857623, -8.99777585331114, 9.997525696970849, -5.998518655519193, 14.996293258722906, -14.99629363395747, 28.992833306318136, 3.999010953776444, -6.998269894656339, 7.998022442937077, -15.99604620991089, 7.998022867262461, 5.998517534767665, 4.9987635622216]","[20.587635170195693, 19.91408039729992, 19.91408039729992, 19.91408039729992, 19.91408039729992, 19.91408039729992, 19.91408039729992, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573, 18.347457686647573]",0.13202258299997993
30,Ackley,SQPPSO,17.868588248285654,"[6.997514703811864, 2.9989349131560767, 5.9978697675439765, -12.995384016346659, -10.996094313148324, 8.99680452736748, 3.9985798439259903, 8.99680456366154, -12.995383986823153, 2.9989348806775844, -12.99538399818106, 1.8396018402674236e-08, 18.99325243438368, 6.997514696930917, 8.9968045745594, 10.996094341227318, 4.998224819911877, 3.202527051672117e-09, -17.993607825087796, 8.996804527970204, 20.99254174169711, -10.996094331847528, 26.9904085008619, 8.996804531734474, 7.9971596702079255, -8.996804564252857, 7.997159628999738, 11.995739184870494, -6.9975147241954705, 5.997869787367659]","[20.642238264440522, 19.739801182204136, 19.599409737055126, 19.599409737055126, 19.599409737055126, 19.599409737055126, 19.599409737055126, 19.599409737055126, 19.599409737055126, 19.599409737055126, 19.599409737055126, 19.599409737055126, 19.599409737055126, 19.599409737055126, 19.599409737055126, 17.868588248546367, 17.868588248546367, 17.868588248546367, 17.868588248546367, 17.868588248546367, 17.868588248546367, 17.868588248546367, 17.868588248546367, 17.868588248546367, 17.868588248546367, 17.868588248546367, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654, 17.868588248285654]",0.1326198330002626
